atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
326,23,0.00014840945463667518,-79.0421482,-2.949063535,-79.0421482,-2.949063535,-100.5,-79.042287,-2.949011,-79.042287,-2.949011,-97.18,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.319999999999993,3.319999999999993
327,24,0.0001433480257940532,-79.04185142,-2.94906301,-79.04185142,-2.94906301,-100.4375,-79.041985,-2.949011,-79.041985,-2.949011,-97.13,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.3075000000000045,3.3075000000000045
328,25,0.0001392290013812691,-79.04155464,-2.949062485,-79.04155464,-2.949062485,-100.375,-79.041684,-2.949011,-79.041684,-2.949011,-97.08,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.2950000000000017,3.2950000000000017
329,26,0.00013418337639507067,-79.04125787,-2.94906196,-79.04125787,-2.94906196,-100.375,-79.041382,-2.949011,-79.041382,-2.949011,-97.03,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.344999999999999,3.344999999999999
330,27,0.00012916376165329516,-79.04096109,-2.949061435,-79.04096109,-2.949061435,-100.3125,-79.04108,-2.949011,-79.04108,-2.949011,-96.98,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.332499999999996,3.332499999999996
331,28,0.0001250791917181202,-79.04066431,-2.94906091,-79.04066431,-2.94906091,-100.3125,-79.040779,-2.949011,-79.040779,-2.949011,-96.93,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.382499999999993,3.382499999999993
332,29,0.0001200939595675227,-79.04036753,-2.949060385,-79.04036753,-2.949060385,-100.25,-79.040477,-2.949011,-79.040477,-2.949011,-96.88,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.3700000000000045,3.3700000000000045
333,30,0.00011513150907733502,-79.04007075,-2.949059859,-79.04007075,-2.949059859,-100.1875,-79.040175,-2.949011,-79.040175,-2.949011,-96.83,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.3575000000000017,3.3575000000000017
334,31,0.00011108634458909353,-79.03977398,-2.949059334,-79.03977398,-2.949059334,-100.125,-79.039874,-2.949011,-79.039874,-2.949011,-96.78,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.344999999999999,3.344999999999999
335,32,0.00010617316272749645,-79.0394772,-2.949058809,-79.0394772,-2.949058809,-100.0625,-79.039572,-2.949011,-79.039572,-2.949011,-96.73,a6e7bd97-f8e5-4237-b430-ef1f265601df,3.332499999999996,3.332499999999996
