atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
22,26914,0.0001570602559455071,-78.98840594,-2.91839798,-78.98840594,-2.91839798,-102.0,-78.988519,-2.918507,-78.988519,-2.918507,-98.16,12478835-e640-47cd-a90e-e82509a23dc1,3.8400000000000034,3.8400000000000034
23,27187,0.00012405807706068265,-78.99496209,-2.918165628,-78.99496209,-2.918165628,-102.0,-78.995035,-2.918266,-78.995035,-2.918266,-98.18,12478835-e640-47cd-a90e-e82509a23dc1,3.819999999999993,3.819999999999993
24,27188,0.0001254736440368853,-78.99471929,-2.918165193,-78.99471929,-2.918165193,-101.9375,-78.994794,-2.918266,-78.994794,-2.918266,-98.1,12478835-e640-47cd-a90e-e82509a23dc1,3.8375000000000057,3.8375000000000057
25,27189,0.0001269064732902003,-78.99447648,-2.918164758,-78.99447648,-2.918164758,-101.875,-78.994553,-2.918266,-78.994553,-2.918266,-98.01,12478835-e640-47cd-a90e-e82509a23dc1,3.864999999999995,3.864999999999995
26,27190,0.0001277372227833855,-78.99423368,-2.918164322,-78.99423368,-2.918164322,-101.8125,-78.994311,-2.918266,-78.994311,-2.918266,-97.95,12478835-e640-47cd-a90e-e82509a23dc1,3.862499999999997,3.862499999999997
27,27191,0.00012918444824073594,-78.99399087,-2.918163887,-78.99399087,-2.918163887,-101.75,-78.99407,-2.918266,-78.99407,-2.918266,-97.92,12478835-e640-47cd-a90e-e82509a23dc1,3.8299999999999983,3.8299999999999983
28,27192,0.0001300188340347064,-78.99374807,-2.918163452,-78.99374807,-2.918163452,-101.75,-78.993828,-2.918266,-78.993828,-2.918266,-97.86,12478835-e640-47cd-a90e-e82509a23dc1,3.8900000000000006,3.8900000000000006
29,27193,0.0001314805379356542,-78.99350526,-2.918163016,-78.99350526,-2.918163016,-101.6875,-78.993587,-2.918266,-78.993587,-2.918266,-97.76,12478835-e640-47cd-a90e-e82509a23dc1,3.927499999999995,3.927499999999995
30,27194,0.00013294518104086907,-78.99326246,-2.918162581,-78.99326246,-2.918162581,-101.6875,-78.993346,-2.918266,-78.993346,-2.918266,-97.66,12478835-e640-47cd-a90e-e82509a23dc1,4.027500000000003,4.027500000000003
31,27195,0.00013379380974636355,-78.99301965,-2.918162145,-78.99301965,-2.918162145,-101.625,-78.993104,-2.918266,-78.993104,-2.918266,-97.59,12478835-e640-47cd-a90e-e82509a23dc1,4.034999999999997,4.034999999999997
32,27196,0.00013527093775164361,-78.99277685,-2.91816171,-78.99277685,-2.91816171,-101.5625,-78.992863,-2.918266,-78.992863,-2.918266,-97.52,12478835-e640-47cd-a90e-e82509a23dc1,4.042500000000004,4.042500000000004
33,27197,0.000136764383800504,-78.99253404,-2.918161274,-78.99253404,-2.918161274,-101.5625,-78.992622,-2.918266,-78.992622,-2.918266,-97.42,12478835-e640-47cd-a90e-e82509a23dc1,4.142499999999998,4.142499999999998
34,27198,0.00013761240322178762,-78.99229124,-2.918160839,-78.99229124,-2.918160839,-101.5625,-78.99238,-2.918266,-78.99238,-2.918266,-97.39,12478835-e640-47cd-a90e-e82509a23dc1,4.172499999999999,4.172499999999999
35,27199,0.0001391108910443361,-78.99204844,-2.918160403,-78.99204844,-2.918160403,-101.5625,-78.992139,-2.918266,-78.992139,-2.918266,-97.36,12478835-e640-47cd-a90e-e82509a23dc1,4.202500000000001,4.202500000000001
36,27200,0.00014062437196254394,-78.99180563,-2.918159967,-78.99180563,-2.918159967,-101.5625,-78.991898,-2.918266,-78.991898,-2.918266,-97.3,12478835-e640-47cd-a90e-e82509a23dc1,4.262500000000003,4.262500000000003
37,27201,0.0001414789626088934,-78.99156283,-2.918159531,-78.99156283,-2.918159531,-101.5625,-78.991656,-2.918266,-78.991656,-2.918266,-97.28,12478835-e640-47cd-a90e-e82509a23dc1,4.282499999999999,4.282499999999999
38,27202,0.00014300232730971564,-78.99132002,-2.918159096,-78.99132002,-2.918159096,-101.5625,-78.991415,-2.918266,-78.991415,-2.918266,-97.25,12478835-e640-47cd-a90e-e82509a23dc1,4.3125,4.3125
39,27203,0.00014452765825729815,-78.99107722,-2.91815866,-78.99107722,-2.91815866,-101.5625,-78.991174,-2.918266,-78.991174,-2.918266,-97.2,12478835-e640-47cd-a90e-e82509a23dc1,4.362499999999997,4.362499999999997
40,27204,0.00014539420303161187,-78.99083441,-2.918158224,-78.99083441,-2.918158224,-101.5625,-78.990932,-2.918266,-78.990932,-2.918266,-97.21,12478835-e640-47cd-a90e-e82509a23dc1,4.352500000000006,4.352500000000006
