error_db,cdf
-30.095607671413898,1.1111111111111112e-05
-30.094952986696597,2.2222222222222223e-05
-29.891848109481607,3.3333333333333335e-05
-29.864952987059695,4.4444444444444447e-05
-29.785607671377704,5.555555555555556e-05
-29.765431865451397,6.666666666666667e-05
-29.599358677992598,7.777777777777778e-05
-29.4954318658882,8.888888888888889e-05
-29.492455450396108,0.0001
-29.467377997275896,0.00011111111111111112
-29.4162535085784,0.00012222222222222221
-29.322455450655205,0.00013333333333333334
-29.2473779972567,0.00014444444444444444
-29.189581349484,0.00015555555555555556
-29.156253508599704,0.00016666666666666666
-28.501775783674205,0.00017777777777777779
-28.1516151112412,0.00018888888888888888
-28.001615111264506,0.0002
-27.7112673659322,0.0002111111111111111
-27.441615545410897,0.00022222222222222223
-27.295606373962702,0.00023333333333333333
-27.241775783484997,0.00024444444444444443
-27.173115334915806,0.0002555555555555556
-26.958063597605594,0.0002666666666666667
-26.8676660396849,0.0002777777777777778
-26.858063597588398,0.0002888888888888889
-26.848438568279093,0.0003
-26.7176660397325,0.0003111111111111111
-26.7051461430163,0.0003222222222222222
-26.675606373930798,0.0003333333333333333
-26.4918481091337,0.0003444444444444444
-26.0693586777383,0.00035555555555555557
-25.2878888131469,0.00036666666666666667
-25.219581349151007,0.00037777777777777777
-25.2033489038835,0.00038888888888888887
-25.163814683678694,0.0004
-25.073814683673604,0.0004111111111111111
-24.90958419805891,0.0004222222222222222
-24.763115334716105,0.0004333333333333333
-24.563593077649998,0.00044444444444444447
-24.555430161987793,0.00045555555555555556
-24.233918149287497,0.00046666666666666666
-24.223348903736998,0.00047777777777777776
-24.219584198077598,0.0004888888888888889
-24.097851804824707,0.0005
-24.0378518048324,0.0005111111111111112
-24.002263554173403,0.0005222222222222222
-23.395022502937607,0.0005333333333333334
-23.2808417174058,0.0005444444444444444
-23.2537468216821,0.0005555555555555556
-23.1868107461976,0.0005666666666666667
-23.083593077510898,0.0005777777777777778
-22.8937468216796,0.0005888888888888889
-22.8668107461863,0.0006
-22.153714531035497,0.0006111111111111111
-22.043187165482095,0.0006222222222222223
-21.971986047144604,0.0006333333333333333
-21.8822520326965,0.0006444444444444444
-21.86375353634481,0.0006555555555555556
-21.852285641131004,0.0006666666666666666
-21.8422520331616,0.0006777777777777778
-21.6062508982151,0.0006888888888888888
-21.513714530926094,0.0007
-21.48218048714179,0.0007111111111111111
-21.414409035781496,0.0007222222222222222
-21.355998722681193,0.0007333333333333333
-21.296250898542496,0.0007444444444444445
-21.2831871653512,0.0007555555555555555
-21.171799110731094,0.0007666666666666667
-21.022180487144603,0.0007777777777777777
-20.977781837482794,0.0007888888888888889
-20.841289197754897,0.0008
-20.480846791553603,0.0008111111111111111
-20.479199757748802,0.0008222222222222222
-19.988438568243197,0.0008333333333333334
-19.9578888131501,0.0008444444444444444
-19.8550576872056,0.0008555555555555556
-19.815840809747,0.0008666666666666666
-19.788251725400293,0.0008777777777777778
-19.781938747706995,0.0008888888888888889
-19.7661551238714,0.0009
-19.73921938456961,0.0009111111111111111
-19.711254161409997,0.0009222222222222222
-19.692392678857097,0.0009333333333333333
-19.624035736229498,0.0009444444444444445
-19.5671242639812,0.0009555555555555555
-19.566047844946503,0.0009666666666666667
-19.551938747703502,0.0009777777777777777
-19.504809527835498,0.000988888888888889
-19.50448852856571,0.001
-19.399582677649796,0.001011111111111111
-19.3692193844755,0.0010222222222222223
-19.325022502955797,0.0010333333333333334
-19.154488528476598,0.0010444444444444444
-19.041267365943497,0.0010555555555555555
-19.028548953848997,0.0010666666666666667
-18.951323877710706,0.0010777777777777778
-18.82062522969551,0.0010888888888888888
-18.6300363579425,0.0011
-18.414409035771,0.0011111111111111111
-18.370036357933905,0.0011222222222222222
-18.263319422461905,0.0011333333333333334
-18.2091271319035,0.0011444444444444445
-17.976566480638397,0.0011555555555555555
-17.964185036286104,0.0011666666666666668
-17.7319045287935,0.0011777777777777778
-17.683970397355097,0.0011888888888888889
-17.660817924221696,0.0012
-17.6339703972763,0.0012111111111111112
-17.628878638726803,0.0012222222222222222
-17.493648037821195,0.0012333333333333332
-17.4742056143335,0.0012444444444444445
-17.394809527826197,0.0012555555555555555
-17.364935668183506,0.0012666666666666666
-17.236895902254894,0.0012777777777777779
-17.147085456221795,0.001288888888888889
-17.1368959021883,0.0013
-17.00160602814899,0.0013111111111111112
-16.9834598072081,0.0013222222222222222
-16.951256910823304,0.0013333333333333333
-16.856934532023693,0.0013444444444444445
-16.843459807200503,0.0013555555555555556
-16.551615545391606,0.0013666666666666666
-16.520082400239595,0.0013777777777777777
-16.485859308329907,0.001388888888888889
-16.405527809228495,0.0014
-16.402558545325,0.001411111111111111
-16.392743752473095,0.0014222222222222223
-16.33190452879481,0.0014333333333333333
-16.259746216713303,0.0014444444444444444
-16.1697462167106,0.0014555555555555556
-16.126778951689197,0.0014666666666666667
-16.117624114118904,0.0014777777777777777
-16.075570648041698,0.001488888888888889
-16.069346121407904,0.0015
-15.975385987769997,0.001511111111111111
-15.887624114192704,0.0015222222222222221
-15.830272495250199,0.0015333333333333334
-15.737594488324,0.0015444444444444444
-15.645840620385002,0.0015555555555555555
-15.611986047159292,0.0015666666666666667
-15.606044566732898,0.0015777777777777778
-15.57826727445331,0.0015888888888888888
-15.436968013999902,0.0016
-15.427941512152294,0.0016111111111111111
-15.420841717435295,0.0016222222222222222
-15.409199757734797,0.0016333333333333334
-15.336778951688807,0.0016444444444444445
-15.307941512210704,0.0016555555555555555
-15.2551503384597,0.0016666666666666668
-15.252080639969606,0.0016777777777777778
-15.216263994440602,0.0016888888888888889
-15.209086766694703,0.0017
-15.070354981414397,0.0017111111111111112
-15.042213337441709,0.0017222222222222222
-15.036370464958402,0.0017333333333333333
-14.961323877713099,0.0017444444444444445
