run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T20:35:28,1.693,0.0189,0.541,0.032,0.0,2.81,2.8103,1,cost231_hata,False,CPU Only
1,False,2026-06-13T20:35:30,1.29,0.0113,0.248,0.009,0.0,2.02,2.0168,1,cost231_hata,False,CPU Only
2,False,2026-06-13T20:35:32,1.109,0.0133,0.263,0.009,0.0,1.82,1.8195,1,cost231_hata,False,CPU Only
3,False,2026-06-13T20:35:34,1.081,0.0126,0.251,0.007,0.0,1.79,1.7854,1,cost231_hata,False,CPU Only
4,False,2026-06-13T20:35:36,1.106,0.0124,0.253,0.006,0.0,1.8,1.8007,1,cost231_hata,False,CPU Only
5,False,2026-06-13T20:35:37,1.085,0.012,0.243,0.006,0.0,1.77,1.7685,1,cost231_hata,False,CPU Only
6,False,2026-06-13T20:35:39,1.097,0.012,0.251,0.006,0.0,1.79,1.7872,1,cost231_hata,False,CPU Only
7,False,2026-06-13T20:35:41,1.07,0.0124,0.3,0.006,0.0,1.84,1.8353,1,cost231_hata,False,CPU Only
8,False,2026-06-13T20:35:43,1.249,0.0134,0.25,0.006,0.0,1.94,1.9407,1,cost231_hata,False,CPU Only
9,False,2026-06-13T20:35:45,1.082,0.0119,0.265,0.006,0.0,1.84,1.8357,1,cost231_hata,False,CPU Only
10,False,2026-06-13T20:35:47,1.098,0.0132,0.251,0.006,0.0,1.8,1.7991,1,cost231_hata,False,CPU Only
11,False,2026-06-13T20:35:49,1.206,0.0133,0.256,0.006,0.0,1.92,1.918,1,cost231_hata,False,CPU Only
12,False,2026-06-13T20:35:50,1.14,0.0136,0.259,0.006,0.0,1.86,1.865,1,cost231_hata,False,CPU Only
13,False,2026-06-13T20:35:52,1.098,0.0123,0.253,0.007,0.0,1.83,1.8297,1,cost231_hata,False,CPU Only
14,False,2026-06-13T20:35:54,1.097,0.0119,0.253,0.006,0.0,1.8,1.7971,1,cost231_hata,False,CPU Only
15,False,2026-06-13T20:35:56,1.119,0.0133,0.24,0.007,0.0,1.81,1.8109,1,cost231_hata,False,CPU Only
16,False,2026-06-13T20:35:58,1.159,0.0152,0.265,0.007,0.0,1.89,1.8892,1,cost231_hata,False,CPU Only
17,False,2026-06-13T20:36:00,1.089,0.0145,0.25,0.006,0.0,1.81,1.8092,1,cost231_hata,False,CPU Only
18,False,2026-06-13T20:36:01,1.089,0.013,0.245,0.006,0.0,1.81,1.8134,1,cost231_hata,False,CPU Only
19,False,2026-06-13T20:36:03,1.252,0.013,0.248,0.008,0.0,1.96,1.9571,1,cost231_hata,False,CPU Only
20,False,2026-06-13T20:36:05,1.1,0.0134,0.266,0.006,0.0,1.83,1.8272,1,cost231_hata,False,CPU Only
