metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,11.502,11.5169,0.2366,2.05,11.591,11.6911,0.3583,3.06,0.9923,20,20
pathloss_s,0.1392,0.1415,0.008,5.66,0.1966,0.2004,0.0227,11.32,0.7085,20,20
render_s,1.0555,1.0626,0.0388,3.65,1.069,1.0751,0.0349,3.25,0.9874,20,20
aggregation_s,0.33,0.3348,0.0108,3.21,0.3385,0.3467,0.0257,7.4,0.9749,20,20
total_s,17.19,17.222,0.3118,1.81,17.54,17.5615,0.4479,2.55,0.98,20,20
