run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T21:48:15,2.606,0.278,0.043,0.0,4.88,4.8827,False,CPU Only
1,False,2026-06-11T21:48:20,2.543,0.233,0.04,0.0,4.79,4.7936,False,CPU Only
2,False,2026-06-11T21:48:25,2.483,0.229,0.036,0.0,4.66,4.6629,False,CPU Only
3,False,2026-06-11T21:48:31,3.572,0.271,0.037,0.0,6.17,6.17,False,CPU Only
4,False,2026-06-11T21:48:36,2.926,0.242,0.049,0.0,5.22,5.2175,False,CPU Only
5,False,2026-06-11T21:48:41,2.865,0.253,0.043,0.0,5.23,5.2326,False,CPU Only
6,False,2026-06-11T21:48:46,2.642,0.25,0.038,0.0,5.0,4.9977,False,CPU Only
7,False,2026-06-11T21:48:51,2.608,0.243,0.038,0.0,4.89,4.8944,False,CPU Only
8,False,2026-06-11T21:48:56,2.615,0.24,0.037,0.0,4.92,4.9163,False,CPU Only
9,False,2026-06-11T21:49:01,2.657,0.235,0.042,0.0,4.86,4.8552,False,CPU Only
10,False,2026-06-11T21:49:06,2.578,0.233,0.037,0.0,4.78,4.7816,False,CPU Only
