metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,3.376,3.4863,0.2108,6.05,3.7115,3.762,0.1827,4.86,0.9096,20,20
pathloss_s,0.0438,0.0446,0.0033,7.43,0.0559,0.0565,0.0078,13.86,0.7828,20,20
render_s,0.288,0.2941,0.022,7.49,0.3055,0.3167,0.0302,9.54,0.9427,20,20
aggregation_s,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,20,20
total_s,4.98,5.105,0.2957,5.79,5.42,5.4865,0.2393,4.36,0.9188,20,20
