run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T20:36:52,3.751,0.0455,0.291,0.023,0.0,5.54,5.5408,1,cost231_hata,False,CPU Only
1,False,2026-06-13T20:36:57,3.52,0.0419,0.271,0.021,0.0,5.13,5.1337,1,cost231_hata,False,CPU Only
2,False,2026-06-13T20:37:02,3.372,0.0419,0.276,0.028,0.0,4.98,4.984,1,cost231_hata,False,CPU Only
3,False,2026-06-13T20:37:07,3.334,0.0438,0.272,0.025,0.0,4.84,4.839,1,cost231_hata,False,CPU Only
4,False,2026-06-13T20:37:12,3.317,0.0446,0.28,0.021,0.0,4.91,4.9067,1,cost231_hata,False,CPU Only
5,False,2026-06-13T20:37:17,3.321,0.0506,0.276,0.021,0.0,4.84,4.8383,1,cost231_hata,False,CPU Only
6,False,2026-06-13T20:37:22,3.367,0.0438,0.307,0.021,0.0,4.97,4.9688,1,cost231_hata,False,CPU Only
7,False,2026-06-13T20:37:27,3.41,0.0467,0.28,0.022,0.0,4.98,4.9783,1,cost231_hata,False,CPU Only
8,False,2026-06-13T20:37:32,3.362,0.0448,0.297,0.021,0.0,4.92,4.918,1,cost231_hata,False,CPU Only
9,False,2026-06-13T20:37:37,3.33,0.0419,0.287,0.022,0.0,4.85,4.8507,1,cost231_hata,False,CPU Only
10,False,2026-06-13T20:37:42,3.261,0.0424,0.274,0.022,0.0,4.83,4.8302,1,cost231_hata,False,CPU Only
11,False,2026-06-13T20:37:46,3.343,0.0437,0.27,0.023,0.0,4.85,4.8508,1,cost231_hata,False,CPU Only
12,False,2026-06-13T20:37:51,3.313,0.0436,0.289,0.02,0.0,4.86,4.8653,1,cost231_hata,False,CPU Only
13,False,2026-06-13T20:37:56,3.449,0.0421,0.274,0.02,0.0,5.05,5.0508,1,cost231_hata,False,CPU Only
14,False,2026-06-13T20:38:01,3.38,0.0389,0.315,0.02,0.0,4.98,4.9798,1,cost231_hata,False,CPU Only
15,False,2026-06-13T20:38:07,3.711,0.0462,0.338,0.022,0.0,5.59,5.5915,1,cost231_hata,False,CPU Only
16,False,2026-06-13T20:38:13,3.961,0.054,0.3,0.023,0.0,5.67,5.6702,1,cost231_hata,False,CPU Only
17,False,2026-06-13T20:38:18,3.74,0.0457,0.315,0.025,0.0,5.43,5.431,1,cost231_hata,False,CPU Only
18,False,2026-06-13T20:38:24,3.898,0.0431,0.303,0.027,0.0,5.65,5.6522,1,cost231_hata,False,CPU Only
19,False,2026-06-13T20:38:29,3.688,0.0449,0.318,0.029,0.0,5.38,5.3844,1,cost231_hata,False,CPU Only
20,False,2026-06-13T20:38:34,3.649,0.0468,0.339,0.022,0.0,5.39,5.3917,1,cost231_hata,False,CPU Only
