metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,13.397,13.4815,1.017,7.54,12.0605,12.0787,0.4658,3.86,1.1108,20,20
pathloss_s,0.1666,0.173,0.0179,10.35,0.1826,0.1884,0.034,18.02,0.9124,20,20
render_s,1.263,1.2419,0.1016,8.18,1.087,1.0848,0.0406,3.75,1.1619,20,20
aggregation_s,0.3925,0.3947,0.0412,10.45,0.3425,0.3476,0.0213,6.13,1.146,20,20
total_s,20.055,20.1335,1.4497,7.2,17.995,17.9885,0.5491,3.05,1.1145,20,20
