metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,13.547,13.903,1.3288,9.56,13.224,13.3532,0.4847,3.63,1.0244,20,20
pathloss_s,0.9911,0.9993,0.0863,8.63,0.9808,0.9681,0.0911,9.41,1.0105,20,20
render_s,0.9515,0.9746,0.0803,8.24,0.9355,0.9498,0.0456,4.8,1.0171,20,20
aggregation_s,0.3095,0.3193,0.0368,11.53,0.287,0.2946,0.0258,8.76,1.0784,20,20
total_s,19.255,19.6505,1.7254,8.78,18.72,18.856,0.6589,3.49,1.0286,20,20
