type	GSM
timestamp	12:04:33	13-June-2026
resolution	23
xmin	-79.02458269
xmax	-78.98328462
ymin	-2.914140518
ymax	-2.875179666
x_num_pixels	200
y_num_pixels	187


-78.99438552;-2.913670964;	Site2_1;-101.5625
-78.99417869;-2.913670594;	Site2_1;-101.6250
-78.99397186;-2.913670224;	Site2_1;-101.6250
-78.99376502;-2.913669853;	Site2_1;-101.6875
-78.99355819;-2.913669483;	Site2_1;-101.7500
-78.99335136;-2.913669113;	Site2_1;-101.7500
-78.99314453;-2.913668742;	Site2_1;-101.8125
-78.99293769;-2.913668372;	Site2_1;-101.8125
-78.99273086;-2.913668001;	Site2_1;-101.8750
-78.99252403;-2.913667631;	Site2_1;-101.9375
-78.99231720;-2.91366726;	Site2_1;-102.0000
-78.99211036;-2.91366689;	Site2_1;-102.0000
-79.01631033;-2.913502031;	Site2_4;-102.0000
-79.01610349;-2.913501665;	Site2_4;-101.9375
-79.01589665;-2.913501298;	Site2_4;-101.9375
-79.01568982;-2.913500932;	Site2_4;-101.8125
-79.01548298;-2.913500566;	Site2_4;-101.7500
-79.01527615;-2.9135002;	Site2_4;-101.7500
-79.01506931;-2.913499833;	Site2_4;-101.6875
-79.01486248;-2.913499467;	Site2_4;-101.6250
-79.01465564;-2.913499101;	Site2_4;-101.5625
-79.01444881;-2.913498734;	Site2_4;-101.5625
-79.01424197;-2.913498368;	Site2_4;-101.5000
-79.01403513;-2.913498001;	Site2_4;-101.5000
-79.01382830;-2.913497635;	Site2_4;-101.5000
-79.01362146;-2.913497268;	Site2_4;-101.4375
-79.01341463;-2.913496902;	Site2_4;-101.4375
-79.01320779;-2.913496535;	Site2_4;-101.3750
-79.01300096;-2.913496168;	Site2_4;-101.3125
-79.01279412;-2.913495801;	Site2_4;-101.3125
-79.01258729;-2.913495435;	Site2_4;-101.3125
-79.01238045;-2.913495068;	Site2_4;-101.3125
-79.01217362;-2.913494701;	Site2_4;-101.3125
-79.01196678;-2.913494334;	Site2_4;-101.3125
-79.01175995;-2.913493967;	Site2_4;-101.3750
-79.01155311;-2.9134936;	Site2_4;-101.4375
-79.01134628;-2.913493233;	Site2_4;-101.4375
-79.01113944;-2.913492866;	Site2_4;-101.4375
-79.01093261;-2.913492499;	Site2_4;-101.5000
-79.01072577;-2.913492132;	Site2_4;-101.5000
-79.01051894;-2.913491765;	Site2_4;-101.5000
-79.01031210;-2.913491398;	Site2_4;-101.5625
-79.01010527;-2.913491031;	Site2_4;-101.6250
-79.00989843;-2.913490663;	Site2_4;-101.6875
-79.00969160;-2.913490296;	Site2_4;-101.7500
-79.00948476;-2.913489929;	Site2_4;-101.8125
-79.00927793;-2.913489561;	Site2_4;-101.8750
-79.00907109;-2.913489194;	Site2_4;-101.9375
-78.99914306;-2.913471513;	Site2_1;-102.0000
-78.99893622;-2.913471144;	Site2_1;-101.9375
-78.99872939;-2.913470774;	Site2_1;-101.8125
-78.99852255;-2.913470405;	Site2_1;-101.7500
-78.99831572;-2.913470036;	Site2_1;-101.6875
-78.99810889;-2.913469666;	Site2_1;-101.6250
-78.99790205;-2.913469297;	Site2_1;-101.5625
-78.99769522;-2.913468927;	Site2_1;-101.5625
-78.99748839;-2.913468558;	Site2_1;-101.5000
-78.99728155;-2.913468188;	Site2_1;-101.4375
-78.99707472;-2.913467819;	Site2_1;-101.3750
-78.99686789;-2.913467449;	Site2_1;-101.3750
-78.99666106;-2.913467079;	Site2_1;-101.3750
-78.99645422;-2.913466709;	Site2_1;-101.3125
-78.99624739;-2.91346634;	Site2_1;-101.3125
-78.99604056;-2.91346597;	Site2_1;-101.3125
-78.99583372;-2.9134656;	Site2_1;-101.3125
-78.99562689;-2.91346523;	Site2_1;-101.3125
-78.99542006;-2.91346486;	Site2_1;-101.3125
-78.99521322;-2.91346449;	Site2_1;-101.3125
-78.99500639;-2.91346412;	Site2_1;-101.3125
-78.99479956;-2.91346375;	Site2_1;-101.3125
-78.99459272;-2.91346338;	Site2_1;-101.3750
-78.99438589;-2.91346301;	Site2_1;-101.3750
-78.99417906;-2.91346264;	Site2_1;-101.3750
-78.99397223;-2.91346227;	Site2_1;-101.4375
-78.99376539;-2.913461899;	Site2_1;-101.5000
-78.99355856;-2.913461529;	Site2_1;-101.5625
-78.99335173;-2.913461159;	Site2_1;-101.5625
-78.99314489;-2.913460788;	Site2_1;-101.5625
-78.99293806;-2.913460418;	Site2_1;-101.6250
-78.99273123;-2.913460048;	Site2_1;-101.6875
-78.99252440;-2.913459677;	Site2_1;-101.7500
-78.99231756;-2.913459307;	Site2_1;-101.8125
-78.99211073;-2.913458936;	Site2_1;-101.8125
-78.99190390;-2.913458566;	Site2_1;-101.8750
-78.99169707;-2.913458195;	Site2_1;-102.0000
-78.99149023;-2.913457824;	Site2_1;-102.0000
-79.01693120;-2.913295172;	Site2_4;-102.0000
-79.01672436;-2.913294806;	Site2_4;-101.9375
-79.01651753;-2.91329444;	Site2_4;-101.8750
-79.01631069;-2.913294074;	Site2_4;-101.8125
-79.01610385;-2.913293708;	Site2_4;-101.7500
-79.01589702;-2.913293342;	Site2_4;-101.6875
-79.01569018;-2.913292975;	Site2_4;-101.6875
-79.01548335;-2.913292609;	Site2_4;-101.5625
-79.01527651;-2.913292243;	Site2_4;-101.5000
-79.01506968;-2.913291877;	Site2_4;-101.5000
-79.01486284;-2.91329151;	Site2_4;-101.4375
-79.01465601;-2.913291144;	Site2_4;-101.3750
-79.01444917;-2.913290778;	Site2_4;-101.3125
-79.01424233;-2.913290411;	Site2_4;-101.3125
-79.01403550;-2.913290045;	Site2_4;-101.2500
-79.01382866;-2.913289678;	Site2_4;-101.2500
-79.01362183;-2.913289312;	Site2_4;-101.2500
-79.01341499;-2.913288945;	Site2_4;-101.2500
-79.01320816;-2.913288578;	Site2_4;-101.1875
-79.01300132;-2.913288212;	Site2_4;-101.1250
-79.01279449;-2.913287845;	Site2_4;-101.1250
-79.01258765;-2.913287478;	Site2_4;-101.0625
-79.01238082;-2.913287112;	Site2_4;-101.0625
-79.01217398;-2.913286745;	Site2_4;-101.0625
-79.01196715;-2.913286378;	Site2_4;-101.0625
-79.01176031;-2.913286011;	Site2_4;-101.1250
-79.01155348;-2.913285644;	Site2_4;-101.1875
-79.01134664;-2.913285277;	Site2_4;-101.1875
-79.01113981;-2.91328491;	Site2_4;-101.2500
-79.01093297;-2.913284543;	Site2_4;-101.2500
-79.01072614;-2.913284176;	Site2_4;-101.2500
-79.01051930;-2.913283809;	Site2_4;-101.2500
-79.01031247;-2.913283442;	Site2_4;-101.3125
-79.01010563;-2.913283074;	Site2_4;-101.3750
-79.00989880;-2.913282707;	Site2_4;-101.4375
-79.00969196;-2.91328234;	Site2_4;-101.5000
-79.00948513;-2.913281973;	Site2_4;-101.5625
-79.00927829;-2.913281605;	Site2_4;-101.6250
-79.00907146;-2.913281238;	Site2_4;-101.6875
-79.00886462;-2.91328087;	Site2_4;-101.7500
-79.00865779;-2.913280503;	Site2_4;-101.8750
-79.00845095;-2.913280135;	Site2_4;-101.9375
-79.00824412;-2.913279768;	Site2_4;-102.0000
-78.99976392;-2.913264666;	Site2_1;-102.0000
-78.99955709;-2.913264297;	Site2_1;-101.8750
-78.99935026;-2.913263928;	Site2_1;-101.7500
-78.99914342;-2.913263558;	Site2_1;-101.7500
-78.99893659;-2.913263189;	Site2_1;-101.6250
-78.99872976;-2.91326282;	Site2_1;-101.5625
-78.99852292;-2.913262451;	Site2_1;-101.5000
-78.99831609;-2.913262081;	Site2_1;-101.4375
-78.99810926;-2.913261712;	Site2_1;-101.3750
-78.99790242;-2.913261342;	Site2_1;-101.3125
-78.99769559;-2.913260973;	Site2_1;-101.3125
-78.99748876;-2.913260603;	Site2_1;-101.2500
-78.99728192;-2.913260234;	Site2_1;-101.1875
-78.99707509;-2.913259864;	Site2_1;-101.1250
-78.99686826;-2.913259494;	Site2_1;-101.1250
-78.99666142;-2.913259125;	Site2_1;-101.1250
-78.99645459;-2.913258755;	Site2_1;-101.1250
-78.99624776;-2.913258385;	Site2_1;-101.0625
-78.99604092;-2.913258016;	Site2_1;-101.0625
-78.99583409;-2.913257646;	Site2_1;-101.0625
-78.99562726;-2.913257276;	Site2_1;-101.0625
-78.99542042;-2.913256906;	Site2_1;-101.0625
-78.99521359;-2.913256536;	Site2_1;-101.1250
-78.99500676;-2.913256166;	Site2_1;-101.1250
-78.99479993;-2.913255796;	Site2_1;-101.1250
