type	GSM
timestamp	12:15:11	13-June-2026
resolution	29
xmin	-79.01781602
xmax	-78.98761208
ymin	-2.911280451
ymax	-2.884219779
x_num_pixels	116
y_num_pixels	103


-79.00321171;-2.911254546;	Site4_1;-102.0000
-79.00269013;-2.911253617;	Site4_1;-102.0000
-79.00242934;-2.911253153;	Site4_1;-102.0000
-79.00216855;-2.911252688;	Site4_1;-102.0000
-79.00190776;-2.911252224;	Site4_1;-102.0000
-79.00477691;-2.910995126;	Site4_1;-102.0000
-79.00451612;-2.910994662;	Site4_1;-101.9375
-79.00425533;-2.910994198;	Site4_1;-101.8750
-79.00399454;-2.910993734;	Site4_1;-101.8750
-79.00373375;-2.91099327;	Site4_1;-101.8125
-79.00347296;-2.910992806;	Site4_1;-101.7500
-79.00321217;-2.910992342;	Site4_1;-101.7500
-79.00295138;-2.910991877;	Site4_1;-101.7500
-79.00269059;-2.910991413;	Site4_1;-101.7500
-79.00242980;-2.910990949;	Site4_1;-101.7500
-79.00216901;-2.910990484;	Site4_1;-101.7500
-79.00190822;-2.91099002;	Site4_1;-101.7500
-79.00164743;-2.910989555;	Site4_1;-101.8125
-79.00138664;-2.91098909;	Site4_1;-101.8750
-79.00112585;-2.910988626;	Site4_1;-101.9375
-79.00086506;-2.910988161;	Site4_1;-102.0000
-79.00608132;-2.91073524;	Site4_1;-101.9375
-79.00582053;-2.910734776;	Site4_1;-101.8750
-79.00555974;-2.910734313;	Site4_1;-101.8750
-79.00529895;-2.910733849;	Site4_1;-101.8750
-79.00503816;-2.910733385;	Site4_1;-101.8125
-79.00477737;-2.910732921;	Site4_1;-101.7500
-79.00451658;-2.910732457;	Site4_1;-101.6875
-79.00425579;-2.910731994;	Site4_1;-101.5625
-79.003995;-2.91073153;	Site4_1;-101.5625
-79.00373421;-2.910731065;	Site4_1;-101.5625
-79.00347342;-2.910730601;	Site4_1;-101.5000
-79.00321263;-2.910730137;	Site4_1;-101.4375
-79.00295184;-2.910729673;	Site4_1;-101.5000
-79.00269105;-2.910729209;	Site4_1;-101.4375
-79.00243026;-2.910728744;	Site4_1;-101.5000
-79.00216947;-2.91072828;	Site4_1;-101.4375
-79.00190868;-2.910727815;	Site4_1;-101.5000
-79.00164789;-2.910727351;	Site4_1;-101.5625
-79.0013871;-2.910726886;	Site4_1;-101.6250
-79.00112631;-2.910726422;	Site4_1;-101.6875
-79.00086552;-2.910725957;	Site4_1;-101.7500
-79.00060473;-2.910725492;	Site4_1;-101.8125
