atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
0,37056,5.699789575771142e-05,-79.00250284,-2.910367211,-79.00250284,-2.910367211,-102.0,-79.002517,-2.910312,-79.002517,-2.910312,-105.78,d09462bf-da2e-4fba-8d18-2833226784dc,-3.780000000000001,3.780000000000001
1,37057,5.705944041761898e-05,-79.00226003,-2.910366779,-79.00226003,-2.910366779,-101.9375,-79.002276,-2.910312,-79.002276,-2.910312,-105.93,d09462bf-da2e-4fba-8d18-2833226784dc,-3.992500000000007,3.992500000000007
2,37058,5.687555985325895e-05,-79.00201723,-2.910366347,-79.00201723,-2.910366347,-101.8125,-79.002034,-2.910312,-79.002034,-2.910312,-106.04,d09462bf-da2e-4fba-8d18-2833226784dc,-4.227500000000006,4.227500000000006
3,37059,5.702248939124159e-05,-79.00177443,-2.910365914,-79.00177443,-2.910365914,-101.6875,-79.001793,-2.910312,-79.001793,-2.910312,-106.12,d09462bf-da2e-4fba-8d18-2833226784dc,-4.4325000000000045,4.4325000000000045
4,37060,5.723345808532716e-05,-79.00153162,-2.910365482,-79.00153162,-2.910365482,-101.6875,-79.001552,-2.910312,-79.001552,-2.910312,-106.23,d09462bf-da2e-4fba-8d18-2833226784dc,-4.542500000000004,4.542500000000004
5,37061,5.712082633531395e-05,-79.00128882,-2.910365049,-79.00128882,-2.910365049,-101.6875,-79.00131,-2.910312,-79.00131,-2.910312,-106.37,d09462bf-da2e-4fba-8d18-2833226784dc,-4.6825000000000045,4.6825000000000045
6,37062,5.742028203733765e-05,-79.00104601,-2.910364617,-79.00104601,-2.910364617,-101.625,-79.001069,-2.910312,-79.001069,-2.910312,-106.5,d09462bf-da2e-4fba-8d18-2833226784dc,-4.875,4.875
7,37063,5.7772951767365375e-05,-79.00080321,-2.910364184,-79.00080321,-2.910364184,-101.625,-79.000828,-2.910312,-79.000828,-2.910312,-106.65,d09462bf-da2e-4fba-8d18-2833226784dc,-5.025000000000006,5.025000000000006
8,37064,5.77322622168617e-05,-79.00056041,-2.910363751,-79.00056041,-2.910363751,-101.625,-79.000586,-2.910312,-79.000586,-2.910312,-106.81,d09462bf-da2e-4fba-8d18-2833226784dc,-5.185000000000002,5.185000000000002
9,37065,5.8175594201157365e-05,-79.0003176,-2.910363319,-79.0003176,-2.910363319,-101.625,-79.000345,-2.910312,-79.000345,-2.910312,-106.98,d09462bf-da2e-4fba-8d18-2833226784dc,-5.355000000000004,5.355000000000004
10,37066,5.866877360271693e-05,-79.0000748,-2.910362886,-79.0000748,-2.910362886,-101.625,-79.000104,-2.910312,-79.000104,-2.910312,-107.18,d09462bf-da2e-4fba-8d18-2833226784dc,-5.555000000000007,5.555000000000007
11,37067,5.870353744322385e-05,-78.99983199,-2.910362453,-78.99983199,-2.910362453,-101.5625,-78.999862,-2.910312,-78.999862,-2.910312,-106.7,d09462bf-da2e-4fba-8d18-2833226784dc,-5.137500000000003,5.137500000000003
12,37068,5.92779596533245e-05,-78.99958919,-2.91036202,-78.99958919,-2.91036202,-101.5625,-78.999621,-2.910312,-78.999621,-2.910312,-106.1,d09462bf-da2e-4fba-8d18-2833226784dc,-4.537499999999994,4.537499999999994
13,37069,5.990411228968379e-05,-78.99934639,-2.910361587,-78.99934639,-2.910361587,-101.5625,-78.99938,-2.910312,-78.99938,-2.910312,-105.56,d09462bf-da2e-4fba-8d18-2833226784dc,-3.9975000000000023,3.9975000000000023
14,37070,6.000710054986031e-05,-78.99910358,-2.910361154,-78.99910358,-2.910361154,-101.5625,-78.999138,-2.910312,-78.999138,-2.910312,-105.05,d09462bf-da2e-4fba-8d18-2833226784dc,-3.487499999999997,3.487499999999997
15,37071,6.0709342286840084e-05,-78.99886078,-2.910360721,-78.99886078,-2.910360721,-101.5625,-78.998897,-2.910312,-78.998897,-2.910312,-104.58,d09462bf-da2e-4fba-8d18-2833226784dc,-3.0174999999999983,3.0174999999999983
16,37072,6.146553378886521e-05,-78.99861797,-2.910360288,-78.99861797,-2.910360288,-101.625,-78.998656,-2.910312,-78.998656,-2.910312,-104.16,d09462bf-da2e-4fba-8d18-2833226784dc,-2.5349999999999966,2.5349999999999966
17,37073,6.162686041444796e-05,-78.99837517,-2.910359855,-78.99837517,-2.910359855,-101.6875,-78.998414,-2.910312,-78.998414,-2.910312,-103.75,d09462bf-da2e-4fba-8d18-2833226784dc,-2.0625,2.0625
18,37074,6.244636211246254e-05,-78.99813237,-2.910359421,-78.99813237,-2.910359421,-101.625,-78.998173,-2.910312,-78.998173,-2.910312,-103.42,d09462bf-da2e-4fba-8d18-2833226784dc,-1.7950000000000017,1.7950000000000017
19,37075,6.265098357705515e-05,-78.99788956,-2.910358988,-78.99788956,-2.910358988,-101.6875,-78.997931,-2.910312,-78.997931,-2.910312,-103.1,d09462bf-da2e-4fba-8d18-2833226784dc,-1.4124999999999943,1.4124999999999943
20,37076,6.353790700021395e-05,-78.99764676,-2.910358555,-78.99764676,-2.910358555,-101.75,-78.99769,-2.910312,-78.99769,-2.910312,-102.83,d09462bf-da2e-4fba-8d18-2833226784dc,-1.0799999999999983,1.0799999999999983
21,37077,6.44658086454614e-05,-78.99740396,-2.910358122,-78.99740396,-2.910358122,-101.75,-78.997449,-2.910312,-78.997449,-2.910312,-102.53,d09462bf-da2e-4fba-8d18-2833226784dc,-0.7800000000000011,0.7800000000000011
22,37078,6.472724190482627e-05,-78.99716115,-2.910357688,-78.99716115,-2.910357688,-101.8125,-78.997207,-2.910312,-78.997207,-2.910312,-102.25,d09462bf-da2e-4fba-8d18-2833226784dc,-0.4375,0.4375
23,37079,6.57155805341331e-05,-78.99691835,-2.910357255,-78.99691835,-2.910357255,-101.8125,-78.996966,-2.910312,-78.996966,-2.910312,-102.03,d09462bf-da2e-4fba-8d18-2833226784dc,-0.21750000000000114,0.21750000000000114
24,37080,6.674738677277233e-05,-78.99667554,-2.910356821,-78.99667554,-2.910356821,-101.9375,-78.996725,-2.910312,-78.996725,-2.910312,-101.84,d09462bf-da2e-4fba-8d18-2833226784dc,0.09749999999999659,0.09749999999999659
25,37081,6.705491886116797e-05,-78.99643274,-2.910356388,-78.99643274,-2.910356388,-101.9375,-78.996483,-2.910312,-78.996483,-2.910312,-101.61,d09462bf-da2e-4fba-8d18-2833226784dc,0.32750000000000057,0.32750000000000057
26,37352,5.4487657877951675e-05,-79.00347449,-2.910124819,-79.00347449,-2.910124819,-102.0,-79.003483,-2.910071,-79.003483,-2.910071,-104.92,d09462bf-da2e-4fba-8d18-2833226784dc,-2.9200000000000017,2.9200000000000017
27,37353,5.4194410865948445e-05,-79.00323168,-2.910124387,-79.00323168,-2.910124387,-101.75,-79.003241,-2.910071,-79.003241,-2.910071,-104.9,d09462bf-da2e-4fba-8d18-2833226784dc,-3.1500000000000057,3.1500000000000057
28,37354,5.410896890465063e-05,-79.00298888,-2.910123954,-79.00298888,-2.910123954,-101.625,-79.003,-2.910071,-79.003,-2.910071,-104.99,d09462bf-da2e-4fba-8d18-2833226784dc,-3.364999999999995,3.364999999999995
29,37355,5.4090159770047485e-05,-79.00274607,-2.910123522,-79.00274607,-2.910123522,-101.5,-79.002759,-2.910071,-79.002759,-2.910071,-105.11,d09462bf-da2e-4fba-8d18-2833226784dc,-3.6099999999999994,3.6099999999999994
30,37356,5.3869109884868154e-05,-79.00250327,-2.91012309,-79.00250327,-2.91012309,-101.4375,-79.002517,-2.910071,-79.002517,-2.910071,-105.26,d09462bf-da2e-4fba-8d18-2833226784dc,-3.822500000000005,3.822500000000005
31,37357,5.394479181347945e-05,-79.00226046,-2.910122658,-79.00226046,-2.910122658,-101.4375,-79.002276,-2.910071,-79.002276,-2.910071,-105.39,d09462bf-da2e-4fba-8d18-2833226784dc,-3.9525000000000006,3.9525000000000006
32,37358,5.376798512682039e-05,-79.00201766,-2.910122225,-79.00201766,-2.910122225,-101.25,-79.002034,-2.910071,-79.002034,-2.910071,-105.49,d09462bf-da2e-4fba-8d18-2833226784dc,-4.239999999999995,4.239999999999995
33,37359,5.3935039161384555e-05,-79.00177486,-2.910121793,-79.00177486,-2.910121793,-101.1875,-79.001793,-2.910071,-79.001793,-2.910071,-105.58,d09462bf-da2e-4fba-8d18-2833226784dc,-4.392499999999998,4.392499999999998
34,37360,5.416855934369689e-05,-79.00153205,-2.910121361,-79.00153205,-2.910121361,-101.0625,-79.001552,-2.910071,-79.001552,-2.910071,-105.71,d09462bf-da2e-4fba-8d18-2833226784dc,-4.647499999999994,4.647499999999994
35,37361,5.406817626107978e-05,-79.00128925,-2.910120928,-79.00128925,-2.910120928,-101.125,-79.00131,-2.910071,-79.00131,-2.910071,-105.85,d09462bf-da2e-4fba-8d18-2833226784dc,-4.724999999999994,4.724999999999994
36,37362,5.4394922706245124e-05,-79.00104644,-2.910120496,-79.00104644,-2.910120496,-101.125,-79.001069,-2.910071,-79.001069,-2.910071,-105.99,d09462bf-da2e-4fba-8d18-2833226784dc,-4.864999999999995,4.864999999999995
37,37363,5.477761923350411e-05,-79.00080364,-2.910120063,-79.00080364,-2.910120063,-101.0625,-79.000828,-2.910071,-79.000828,-2.910071,-106.16,d09462bf-da2e-4fba-8d18-2833226784dc,-5.097499999999997,5.097499999999997
38,37364,5.475310493165016e-05,-79.00056084,-2.91011963,-79.00056084,-2.91011963,-101.0625,-79.000586,-2.910071,-79.000586,-2.910071,-106.35,d09462bf-da2e-4fba-8d18-2833226784dc,-5.287499999999994,5.287499999999994
39,37365,5.523068081816877e-05,-79.00031803,-2.910119198,-79.00031803,-2.910119198,-101.0625,-79.000345,-2.910071,-79.000345,-2.910071,-106.55,d09462bf-da2e-4fba-8d18-2833226784dc,-5.487499999999997,5.487499999999997
40,37366,5.576027371723339e-05,-79.00007523,-2.910118765,-79.00007523,-2.910118765,-101.0,-79.000104,-2.910071,-79.000104,-2.910071,-106.41,d09462bf-da2e-4fba-8d18-2833226784dc,-5.409999999999997,5.409999999999997
41,37367,5.581482440513015e-05,-78.99983242,-2.910118332,-78.99983242,-2.910118332,-101.0,-78.999862,-2.910071,-78.999862,-2.910071,-105.73,d09462bf-da2e-4fba-8d18-2833226784dc,-4.730000000000004,4.730000000000004
42,37368,5.642889863915178e-05,-78.99958962,-2.910117899,-78.99958962,-2.910117899,-101.0,-78.999621,-2.910071,-78.999621,-2.910071,-105.17,d09462bf-da2e-4fba-8d18-2833226784dc,-4.170000000000002,4.170000000000002
43,37369,5.70964233221924e-05,-78.99934682,-2.910117466,-78.99934682,-2.910117466,-101.0,-78.99938,-2.910071,-78.99938,-2.910071,-104.61,d09462bf-da2e-4fba-8d18-2833226784dc,-3.6099999999999994,3.6099999999999994
44,37370,5.722199917351032e-05,-78.99910401,-2.910117033,-78.99910401,-2.910117033,-101.0,-78.999138,-2.910071,-78.999138,-2.910071,-104.13,d09462bf-da2e-4fba-8d18-2833226784dc,-3.1299999999999955,3.1299999999999955
45,37371,5.7967957527218846e-05,-78.99886121,-2.9101166,-78.99886121,-2.9101166,-101.0625,-78.998897,-2.910071,-78.998897,-2.910071,-103.66,d09462bf-da2e-4fba-8d18-2833226784dc,-2.5974999999999966,2.5974999999999966
46,37372,5.876919166472769e-05,-78.9986184,-2.910116167,-78.9986184,-2.910116167,-101.125,-78.998656,-2.910071,-78.998656,-2.910071,-103.28,d09462bf-da2e-4fba-8d18-2833226784dc,-2.155000000000001,2.155000000000001
47,37373,5.8954989233847796e-05,-78.9983756,-2.910115734,-78.9983756,-2.910115734,-101.0625,-78.998414,-2.910071,-78.998414,-2.910071,-102.9,d09462bf-da2e-4fba-8d18-2833226784dc,-1.8375000000000057,1.8375000000000057
48,37374,5.982155632431675e-05,-78.9981328,-2.910115301,-78.9981328,-2.910115301,-101.125,-78.998173,-2.910071,-78.998173,-2.910071,-102.58,d09462bf-da2e-4fba-8d18-2833226784dc,-1.4549999999999983,1.4549999999999983
49,37375,6.0051823645612534e-05,-78.99788999,-2.910114868,-78.99788999,-2.910114868,-101.1875,-78.997931,-2.910071,-78.997931,-2.910071,-102.29,d09462bf-da2e-4fba-8d18-2833226784dc,-1.1025000000000063,1.1025000000000063
50,37376,6.098531345277239e-05,-78.99764719,-2.910114434,-78.99764719,-2.910114434,-101.1875,-78.99769,-2.910071,-78.99769,-2.910071,-102.0,d09462bf-da2e-4fba-8d18-2833226784dc,-0.8125,0.8125
51,37377,6.196077873400825e-05,-78.99740439,-2.910114001,-78.99740439,-2.910114001,-101.25,-78.997449,-2.910071,-78.997449,-2.910071,-101.72,d09462bf-da2e-4fba-8d18-2833226784dc,-0.46999999999999886,0.46999999999999886
52,37378,6.224958654146476e-05,-78.99716158,-2.910113568,-78.99716158,-2.910113568,-101.25,-78.997207,-2.910071,-78.997207,-2.910071,-101.48,d09462bf-da2e-4fba-8d18-2833226784dc,-0.23000000000000398,0.23000000000000398
53,37379,6.328508794268958e-05,-78.99691878,-2.910113134,-78.99691878,-2.910113134,-101.375,-78.996966,-2.910071,-78.996966,-2.910071,-101.29,d09462bf-da2e-4fba-8d18-2833226784dc,0.08499999999999375,0.08499999999999375
