abs_error_db,cdf
0.007499999999993179,7.870916961826053e-05
0.007499999999993179,0.00015741833923652105
0.010000000000005116,0.0002361275088547816
0.012500000000002842,0.0003148366784730421
0.012500000000002842,0.0003935458480913026
0.012500000000002842,0.0004722550177095632
0.015000000000000568,0.0005509641873278236
0.015000000000000568,0.0006296733569460842
0.017499999999998295,0.0007083825265643448
0.017499999999998295,0.0007870916961826052
0.017499999999998295,0.0008658008658008658
0.017499999999998295,0.0009445100354191264
0.01999999999999602,0.001023219205037387
0.025000000000005684,0.0011019283746556473
0.030000000000001137,0.0011806375442739079
0.030000000000001137,0.0012593467138921684
0.03499999999999659,0.001338055883510429
0.037499999999994316,0.0014167650531286896
0.04000000000000625,0.0014954742227469501
0.04999999999999716,0.0015741833923652105
0.04999999999999716,0.001652892561983471
0.052499999999994884,0.0017316017316017316
0.05500000000000682,0.0018103109012199922
0.05500000000000682,0.0018890200708382527
0.060000000000002274,0.0019677292404565133
0.060000000000002274,0.002046438410074774
0.060000000000002274,0.0021251475796930344
0.0625,0.0022038567493112946
0.0625,0.002282565918929555
0.06499999999999773,0.0023612750885478157
0.06749999999999545,0.0024399842581660763
0.06999999999999318,0.002518693427784337
0.06999999999999318,0.0025974025974025974
0.07250000000000512,0.002676111767020858
0.07250000000000512,0.0027548209366391185
0.07250000000000512,0.002833530106257379
0.07500000000000284,0.0029122392758756397
0.07750000000000057,0.0029909484454939002
0.0799999999999983,0.0030696576151121604
0.0799999999999983,0.003148366784730421
0.08249999999999602,0.0032270759543486815
0.08499999999999375,0.003305785123966942
0.08499999999999375,0.0033844942935852026
0.08499999999999375,0.003463203463203463
0.09250000000000114,0.0035419126328217238
0.09250000000000114,0.0036206218024399843
0.09499999999999886,0.003699330972058245
0.09749999999999659,0.0037780401416765055
0.09749999999999659,0.003856749311294766
0.09749999999999659,0.003935458480913027
0.09999999999999432,0.004014167650531287
0.10250000000000625,0.004092876820149548
0.10250000000000625,0.004171585989767808
0.10500000000000398,0.004250295159386069
0.10500000000000398,0.004329004329004329
0.1075000000000017,0.004407713498622589
0.10999999999999943,0.00448642266824085
0.10999999999999943,0.00456513183785911
0.11249999999999716,0.004643841007477371
0.11249999999999716,0.004722550177095631
0.11750000000000682,0.004801259346713892
0.11750000000000682,0.0048799685163321525
0.11750000000000682,0.0049586776859504135
0.12000000000000455,0.005037386855568674
0.12999999999999545,0.005116096025186935
0.13249999999999318,0.005194805194805195
0.13500000000000512,0.005273514364423455
0.13750000000000284,0.005352223534041716
0.14499999999999602,0.005430932703659976
0.14499999999999602,0.005509641873278237
0.14499999999999602,0.005588351042896497
0.1525000000000034,0.005667060212514758
0.1599999999999966,0.005745769382133018
0.16500000000000625,0.005824478551751279
0.16500000000000625,0.0059031877213695395
0.16500000000000625,0.0059818968909878005
0.1700000000000017,0.006060606060606061
0.17249999999999943,0.006139315230224321
0.17249999999999943,0.006218024399842582
0.17499999999999716,0.006296733569460842
0.17499999999999716,0.006375442739079103
0.17499999999999716,0.006454151908697363
0.17749999999999488,0.006532861078315624
0.18000000000000682,0.006611570247933884
0.18000000000000682,0.006690279417552145
0.18500000000000227,0.006768988587170405
0.18500000000000227,0.006847697756788666
0.18999999999999773,0.006926406926406926
0.19249999999999545,0.0070051160960251865
0.19249999999999545,0.0070838252656434475
0.19750000000000512,0.007162534435261708
0.20000000000000284,0.007241243604879969
0.20000000000000284,0.007319952774498229
0.20000000000000284,0.00739866194411649
0.20000000000000284,0.00747737111373475
0.20250000000000057,0.007556080283353011
0.20250000000000057,0.007634789452971271
0.2049999999999983,0.007713498622589532
0.20749999999999602,0.007792207792207792
0.20749999999999602,0.007870916961826053
0.20999999999999375,0.007949626131444313
0.20999999999999375,0.008028335301062573
0.21250000000000568,0.008107044470680834
0.2150000000000034,0.008185753640299095
0.2150000000000034,0.008264462809917356
0.21750000000000114,0.008343171979535616
0.21750000000000114,0.008421881149153876
0.2224999999999966,0.008500590318772138
0.22499999999999432,0.008579299488390398
0.22750000000000625,0.008658008658008658
0.22750000000000625,0.008736717827626918
0.22750000000000625,0.008815426997245178
0.23000000000000398,0.00889413616686344
0.2325000000000017,0.0089728453364817
0.2325000000000017,0.00905155450609996
0.23499999999999943,0.00913026367571822
0.23499999999999943,0.009208972845336482
0.23749999999999716,0.009287682014954743
0.24250000000000682,0.009366391184573003
0.24250000000000682,0.009445100354191263
0.24750000000000227,0.009523809523809525
0.25,0.009602518693427785
0.25,0.009681227863046045
0.25,0.009759937032664305
0.2524999999999977,0.009838646202282565
0.2600000000000051,0.009917355371900827
0.26250000000000284,0.009996064541519087
0.26500000000000057,0.010074773711137347
0.26500000000000057,0.010153482880755607
0.27249999999999375,0.01023219205037387
0.27249999999999375,0.01031090121999213
0.2750000000000057,0.01038961038961039
0.2750000000000057,0.01046831955922865
0.2775000000000034,0.01054702872884691
0.2775000000000034,0.010625737898465172
0.2775000000000034,0.010704447068083432
0.28000000000000114,0.010783156237701692
0.2849999999999966,0.010861865407319952
0.2849999999999966,0.010940574576938214
0.2874999999999943,0.011019283746556474
0.29000000000000625,0.011097992916174734
0.29000000000000625,0.011176702085792994
0.29000000000000625,0.011255411255411256
0.29000000000000625,0.011334120425029516
0.292500000000004,0.011412829594647777
0.292500000000004,0.011491538764266037
0.2950000000000017,0.011570247933884297
0.2950000000000017,0.011648957103502559
0.29999999999999716,0.011727666273120819
0.3024999999999949,0.011806375442739079
0.3024999999999949,0.011885084612357339
0.3024999999999949,0.011963793781975601
0.3050000000000068,0.012042502951593861
0.3100000000000023,0.012121212121212121
0.3100000000000023,0.012199921290830381
0.3149999999999977,0.012278630460448641
0.3225000000000051,0.012357339630066903
0.32500000000000284,0.012436048799685163
0.32750000000000057,0.012514757969303424
0.32750000000000057,0.012593467138921684
0.32750000000000057,0.012672176308539946
0.3299999999999983,0.012750885478158206
0.3299999999999983,0.012829594647776466
0.332499999999996,0.012908303817394726
0.3375000000000057,0.012987012987012988
0.3375000000000057,0.013065722156631248
0.3400000000000034,0.013144431326249508
0.3400000000000034,0.013223140495867768
