atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
48211,54809,0.00015089016301283057,-78.83611528,-2.830618836,-78.83611528,-2.830618836,-87.125,-78.836266,-2.830626,-78.836266,-2.830626,-73.25,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.875,13.875
48212,54810,8.269207762370769e-05,-78.83570169,-2.83061806,-78.83570169,-2.83061806,-87.3125,-78.835784,-2.830626,-78.835784,-2.830626,-73.44,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.872500000000002,13.872500000000002
48213,54811,1.5576801850089587e-05,-78.83528809,-2.830617284,-78.83528809,-2.830617284,-87.5,-78.835301,-2.830626,-78.835301,-2.830626,-73.64,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.86,13.86
48214,54812,5.7291945759807604e-05,-78.8348745,-2.830616507,-78.8348745,-2.830616507,-87.75,-78.834818,-2.830626,-78.834818,-2.830626,-73.83,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.920000000000002,13.920000000000002
48215,54813,0.0001253214361621629,-78.8344609,-2.830615731,-78.8344609,-2.830615731,-87.9375,-78.834336,-2.830626,-78.834336,-2.830626,-74.02,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.917500000000004,13.917500000000004
48216,54814,0.0001946237144212037,-78.83404731,-2.830614954,-78.83404731,-2.830614954,-88.125,-78.833853,-2.830626,-78.833853,-2.830626,-74.21,94fda027-a5c4-46bc-a0db-69e6471c8ba3,13.915000000000006,13.915000000000006
48218,54815,0.00015040869124748928,-78.83322012,-2.8306134,-78.83322012,-2.8306134,-88.5,-78.83337,-2.830626,-78.83337,-2.830626,-74.39,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.11,14.11
48219,54816,8.256091707731145e-05,-78.83280653,-2.830612623,-78.83280653,-2.830612623,-88.75,-78.832888,-2.830626,-78.832888,-2.830626,-74.58,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.170000000000002,14.170000000000002
48220,54817,1.8595142261703364e-05,-78.83239294,-2.830611846,-78.83239294,-2.830611846,-88.875,-78.832405,-2.830626,-78.832405,-2.830626,-87.24,94fda027-a5c4-46bc-a0db-69e6471c8ba3,1.6350000000000051,1.6350000000000051
48221,54818,5.9252091615049654e-05,-78.83197934,-2.830611069,-78.83197934,-2.830611069,-89.125,-78.831922,-2.830626,-78.831922,-2.830626,-105.11,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-15.985,15.985
48222,54819,0.00012672740500688017,-78.83156575,-2.830610291,-78.83156575,-2.830610291,-89.3125,-78.83144,-2.830626,-78.83144,-2.830626,-105.21,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-15.897499999999994,15.897499999999994
48223,54820,0.00019585516784243682,-78.83115216,-2.830609513,-78.83115216,-2.830609513,-89.5,-78.830957,-2.830626,-78.830957,-2.830626,-75.3,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.200000000000003,14.200000000000003
48225,54821,0.0001501181356819718,-78.83032497,-2.830607958,-78.83032497,-2.830607958,-89.9375,-78.830474,-2.830626,-78.830474,-2.830626,-75.47,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.467500000000001,14.467500000000001
