metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,21.4955,21.6139,0.7957,3.68,21.441,21.3715,0.4559,2.13,1.0025,20,20
pathloss_s,0.2568,0.2604,0.0145,5.58,0.3549,0.3568,0.0295,8.27,0.7234,20,20
render_s,2.3275,2.3419,0.0575,2.46,2.336,2.3374,0.0589,2.52,0.9964,20,20
aggregation_s,0.346,0.3493,0.0221,6.33,0.3495,0.3513,0.0207,5.89,0.99,20,20
total_s,32.035,32.2285,1.0425,3.23,32.15,32.0885,0.6768,2.11,0.9964,20,20
