run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T22:00:50,16.041,0.241,0.234,0.0,28.37,28.3663,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-11T22:01:18,15.933,0.256,0.225,0.0,28.13,28.1304,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-11T22:01:46,15.645,0.255,0.226,0.0,27.83,27.8266,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-11T22:02:14,15.861,0.248,0.228,0.0,27.99,27.9946,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-11T22:02:42,15.729,0.239,0.226,0.0,28.03,28.0302,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-11T22:03:10,15.945,0.245,0.229,0.0,28.58,28.5824,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-11T22:03:39,16.012,0.254,0.235,0.0,28.22,28.2252,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-11T22:04:07,16.249,0.242,0.234,0.0,28.5,28.5005,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-11T22:04:35,15.997,0.244,0.236,0.0,28.11,28.1155,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-11T22:05:04,15.904,0.245,0.23,0.0,28.25,28.248,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-11T22:05:31,15.749,0.244,0.229,0.0,27.83,27.8352,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
