atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
0,31979,8.083471617870006e-05,-79.01341353,-2.914120771,-79.01341353,-2.914120771,-102.0,-79.013344,-2.914162,-79.013344,-2.914162,-90.27,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.730000000000004,11.730000000000004
1,31980,8.11684496318318e-05,-79.0132067,-2.914120404,-79.0132067,-2.914120404,-102.0,-79.013137,-2.914162,-79.013137,-2.914162,-90.35,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.650000000000006,11.650000000000006
2,31981,8.063813641113297e-05,-79.01299986,-2.914120038,-79.01299986,-2.914120038,-102.0,-79.012931,-2.914162,-79.012931,-2.914162,-90.42,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.579999999999998,11.579999999999998
3,31982,8.097459564501312e-05,-79.01279303,-2.914119671,-79.01279303,-2.914119671,-102.0,-79.012724,-2.914162,-79.012724,-2.914162,-90.42,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.579999999999998,11.579999999999998
4,31983,8.130316423554943e-05,-79.01258619,-2.914119304,-79.01258619,-2.914119304,-102.0,-79.012517,-2.914162,-79.012517,-2.914162,-90.4,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.599999999999994,11.599999999999994
5,31984,8.164086947534014e-05,-79.01237936,-2.914118937,-79.01237936,-2.914118937,-102.0,-79.01231,-2.914162,-79.01231,-2.914162,-90.37,175da74d-4327-4409-9a5e-33a31cf4b8a3,11.629999999999995,11.629999999999995
6,32061,9.59861114151615e-05,-78.99645312,-2.914090572,-78.99645312,-2.914090572,-102.0,-78.996389,-2.914162,-78.996389,-2.914162,-88.61,19fe2c43-027a-45a3-8f98-bacb60830943,13.39,13.39
7,32062,9.63743394719633e-05,-78.99624629,-2.914090203,-78.99624629,-2.914090203,-102.0,-78.996182,-2.914162,-78.996182,-2.914162,-88.54,19fe2c43-027a-45a3-8f98-bacb60830943,13.459999999999994,13.459999999999994
8,32063,9.675680021885297e-05,-78.99603945,-2.914089833,-78.99603945,-2.914089833,-102.0,-78.995975,-2.914162,-78.995975,-2.914162,-88.45,19fe2c43-027a-45a3-8f98-bacb60830943,13.549999999999997,13.549999999999997
9,32064,9.71460795373933e-05,-78.99583262,-2.914089463,-78.99583262,-2.914089463,-102.0,-78.995768,-2.914162,-78.995768,-2.914162,-88.36,19fe2c43-027a-45a3-8f98-bacb60830943,13.64,13.64
