run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T21:52:50,8.114,0.26,0.114,0.0,14.48,14.4848,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-11T21:53:04,7.839,0.27,0.116,0.0,14.04,14.0419,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-11T21:53:18,7.94,0.264,0.116,0.0,14.11,14.1113,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-11T21:53:32,7.861,0.266,0.114,0.0,13.97,13.971,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-11T21:53:46,7.996,0.263,0.113,0.0,14.26,14.2657,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-11T21:54:00,7.874,0.258,0.112,0.0,14.01,14.0141,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-11T21:54:14,7.846,0.293,0.114,0.0,14.0,14.0063,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-11T21:54:28,7.822,0.258,0.111,0.0,14.02,14.0237,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-11T21:54:43,7.817,0.268,0.112,0.0,14.18,14.1758,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-11T21:54:57,7.976,0.258,0.112,0.0,14.17,14.1665,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-11T21:55:11,7.784,0.263,0.113,0.0,13.97,13.9726,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
