run_id,is_warmup,timestamp,coverage_s,pathloss_s,render_s,terrain_s,aggregation_s,total_s,wall_s,n_antennas,model_label,gpu_used,gpu_device
0,True,2026-06-13T20:44:24,7.633,0.1255,0.285,0.05,0.0,10.63,10.6312,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
1,False,2026-06-13T20:44:34,7.484,0.1003,0.294,0.047,0.0,10.55,10.555,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
2,False,2026-06-13T20:44:45,7.635,0.1293,0.309,0.059,0.0,10.74,10.7371,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
3,False,2026-06-13T20:44:55,7.393,0.0895,0.267,0.047,0.0,10.34,10.3425,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
4,False,2026-06-13T20:45:05,6.902,0.0769,0.267,0.048,0.0,9.74,9.7392,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
5,False,2026-06-13T20:45:15,6.876,0.0988,0.257,0.041,0.0,9.66,9.656,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
6,False,2026-06-13T20:45:25,7.087,0.1049,0.266,0.044,0.0,9.91,9.9065,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
7,False,2026-06-13T20:45:34,6.825,0.1928,0.259,0.052,0.0,9.51,9.5104,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
8,False,2026-06-13T20:45:44,6.777,0.1142,0.269,0.043,0.0,9.63,9.6284,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
9,False,2026-06-13T20:45:53,6.751,0.1029,0.26,0.045,0.0,9.56,9.5567,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
10,False,2026-06-13T20:46:03,6.957,0.0735,0.271,0.044,0.0,9.93,9.9316,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
11,False,2026-06-13T20:46:13,6.923,0.1075,0.264,0.041,0.0,9.75,9.7498,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
12,False,2026-06-13T20:46:23,6.871,0.1081,0.274,0.049,0.0,9.74,9.7421,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
13,False,2026-06-13T20:46:32,6.731,0.0757,0.256,0.04,0.0,9.59,9.5925,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
14,False,2026-06-13T20:46:42,6.734,0.1077,0.259,0.041,0.0,9.44,9.439,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
15,False,2026-06-13T20:46:51,6.755,0.101,0.259,0.042,0.0,9.48,9.4762,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
16,False,2026-06-13T20:47:01,6.761,0.0996,0.259,0.041,0.0,9.52,9.5222,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
17,False,2026-06-13T20:47:10,6.724,0.1114,0.264,0.042,0.0,9.42,9.4227,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
18,False,2026-06-13T20:47:20,6.769,0.1103,0.259,0.045,0.0,9.57,9.5713,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
19,False,2026-06-13T20:47:30,6.946,0.1039,0.264,0.043,0.0,9.73,9.7297,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
20,False,2026-06-13T20:47:39,6.703,0.0972,0.273,0.051,0.0,9.48,9.4792,1,cost231_hata,True,GPU: NVIDIA GeForce GTX 1660 SUPER (CC 7.5)
