run_id,is_warmup,timestamp,coverage_s,render_s,terrain_s,aggregation_s,total_s,wall_s,gpu_used,gpu_device
0,True,2026-06-11T21:55:40,15.889,0.25,0.237,0.0,28.49,28.4902,False,CPU Only
1,False,2026-06-11T21:56:08,16.186,0.246,0.227,0.0,28.29,28.2919,False,CPU Only
2,False,2026-06-11T21:56:36,16.115,0.251,0.233,0.0,28.26,28.262,False,CPU Only
3,False,2026-06-11T21:57:04,15.837,0.253,0.227,0.0,27.92,27.9221,False,CPU Only
4,False,2026-06-11T21:57:32,16.046,0.247,0.228,0.0,28.08,28.0815,False,CPU Only
5,False,2026-06-11T21:58:00,15.747,0.242,0.226,0.0,27.8,27.7962,False,CPU Only
6,False,2026-06-11T21:58:29,15.988,0.247,0.233,0.0,28.3,28.3051,False,CPU Only
7,False,2026-06-11T21:58:57,16.114,0.249,0.226,0.0,28.21,28.2112,False,CPU Only
8,False,2026-06-11T21:59:25,15.758,0.249,0.229,0.0,28.03,28.0321,False,CPU Only
9,False,2026-06-11T21:59:53,16.087,0.243,0.225,0.0,28.25,28.2492,False,CPU Only
10,False,2026-06-11T22:00:21,15.725,0.244,0.227,0.0,27.81,27.8129,False,CPU Only
