metric,cpu_median_s,cpu_mean_s,cpu_std_s,cpu_cv_pct,gpu_median_s,gpu_mean_s,gpu_std_s,gpu_cv_pct,speedup,n_cpu_runs,n_gpu_runs
coverage_s,11.466,11.6401,0.59,5.07,12.0485,12.6826,1.4409,11.36,0.9517,20,20
pathloss_s,0.0077,0.0078,0.0009,11.07,0.0137,0.0158,0.0058,36.68,0.5584,20,20
render_s,1.051,1.0626,0.0587,5.52,1.1085,1.1782,0.1492,12.66,0.9481,20,20
aggregation_s,0.339,0.347,0.0312,8.98,0.3925,0.3836,0.0533,13.89,0.8637,20,20
total_s,17.21,17.4325,0.7905,4.53,18.055,19.0535,2.1147,11.1,0.9532,20,20
