X_m,Y_m,Latitud,Longitud,RSRP_Ant1_dBm,RSRP_Ant2_dBm,RSRP_Ant3_dBm,RSRP_Max_dBm,PathLoss_Ant1_dB,PathLoss_Ant2_dB,PathLoss_Ant3_dB,PLOS_Ant1,PLOS_Ant2,PLOS_Ant3,Best_Antenna_ID
-3000,-3000,-2.92496892495411,-79.03192749174,-143.026996545717,-143.026996545717,-113.649887240573,-113.649887240573,166.026996545717,166.026996545717,166.026996545717,0.00424964807409659,0.00424964807409659,0.00424964807409659,3
-3000,-2980,-2.92478895878775,-79.03192749174,-142.9703527099,-142.9703527099,-113.577228290515,-113.577228290515,165.9703527099,165.9703527099,165.9703527099,0.00426374156655013,0.00426374156655013,0.00426374156655013,3
-3000,-2960,-2.92460899262139,-79.03192749174,-142.913712465925,-142.913712465925,-113.504677190916,-113.504677190916,165.913712465925,165.913712465925,165.913712465925,0.00427788052369515,0.00427788052369515,0.00427788052369515,3
-3000,-2940,-2.92442902645503,-79.03192749174,-142.8570784195,-142.8570784195,-113.432240060141,-113.432240060141,165.8570784195,165.8570784195,165.8570784195,0.0042920644330318,0.0042920644330318,0.0042920644330318,3
-3000,-2920,-2.92424906028867,-79.03192749174,-142.800453227915,-142.800453227915,-113.359923133222,-113.359923133222,165.800453227915,165.800453227915,165.800453227915,0.00430629276089126,0.00430629276089126,0.00430629276089126,3
-3000,-2900,-2.9240690941223,-79.03192749174,-142.743839600711,-142.743839600711,-113.287732763283,-113.287732763283,165.743839600711,165.743839600711,165.743839600711,0.00432056495198971,0.00432056495198971,0.00432056495198971,3
-3000,-2880,-2.92388912795594,-79.03192749174,-142.687240300331,-142.687240300331,-113.215675422951,-113.215675422951,165.687240300331,165.687240300331,165.687240300331,0.00433488042897869,0.00433488042897869,0.00433488042897869,3
-3000,-2860,-2.92370916178958,-79.03192749174,-142.630658142781,-142.630658142781,-113.143757705754,-113.143757705754,165.630658142781,165.630658142781,165.630658142781,0.00434923859199154,0.00434923859199154,0.00434923859199154,3
-3000,-2840,-2.92352919562322,-79.03192749174,-142.574095998279,-142.574095998279,-113.071986327517,-113.071986327517,165.574095998279,165.574095998279,165.574095998279,0.00436363881818593,0.00436363881818593,0.00436363881818593,3
-3000,-2820,-2.92334922945686,-79.03192749174,-142.517556791907,-142.517556791907,-113.00036812773,-113.00036812773,165.517556791907,165.517556791907,165.517556791907,0.00437808046128279,0.00437808046128279,0.00437808046128279,3
-3000,-2800,-2.9231692632905,-79.03192749174,-142.461043504255,-142.461043504255,-112.928910070912,-112.928910070912,165.461043504255,165.461043504255,165.461043504255,0.00439256285110243,0.00439256285110243,0.00439256285110243,3
-3000,-2780,-2.92298929712414,-79.03192749174,-142.404559172065,-142.404559172065,-112.857619247957,-112.857619247957,165.404559172065,165.404559172065,165.404559172065,0.00440708529309673,0.00440708529309673,0.00440708529309673,3
-3000,-2760,-2.92280933095778,-79.03192749174,-142.348106888862,-142.348106888862,-112.786502877454,-112.786502877454,165.348106888862,165.348106888862,165.348106888862,0.00442164706788003,0.00442164706788003,0.00442164706788003,3
-3000,-2740,-2.92262936479142,-79.03192749174,-142.291689805588,-142.291689805588,-112.715568306996,-112.715568306996,165.291689805588,165.291689805588,165.291689805588,0.00443624743075555,0.00443624743075555,0.00443624743075555,3
-3000,-2720,-2.92244939862506,-79.03192749174,-142.235311131225,-142.235311131225,-112.644823014458,-112.644823014458,165.235311131225,165.235311131225,165.235311131225,0.00445088561124178,0.00445088561124178,0.00445088561124178,3
-3000,-2700,-2.9222694324587,-79.03192749174,-142.178974133407,-142.178974133407,-112.574274609259,-112.574274609259,165.178974133407,165.178974133407,165.178974133407,0.00446556081259541,0.00446556081259541,0.00446556081259541,3
-3000,-2680,-2.92208946629234,-79.03192749174,-142.122682139033,-142.122682139033,-112.503930833591,-112.503930833591,165.122682139033,165.122682139033,165.122682139033,0.00448027221133349,0.00448027221133349,0.00448027221133349,3
-3000,-2660,-2.92190950012598,-79.03192749174,-142.066438534861,-142.066438534861,-112.433799563623,-112.433799563623,165.066438534861,165.066438534861,165.066438534861,0.00449501895675454,0.00449501895675454,0.00449501895675454,3
-3000,-2640,-2.92172953395962,-79.03192749174,-142.010246768099,-142.010246768099,-112.363888810676,-112.363888810676,165.010246768099,165.010246768099,165.010246768099,0.00450980017045833,0.00450980017045833,0.00450980017045833,3
-3000,-2620,-2.92154956779325,-79.03192749174,-141.954110346986,-141.954110346986,-112.294206722359,-112.294206722359,164.954110346986,164.954110346986,164.954110346986,0.00452461494586597,0.00452461494586597,0.00452461494586597,3
-3000,-2600,-2.92136960162689,-79.03192749174,-141.898032841356,-141.898032841356,-112.224761583679,-112.224761583679,164.898032841356,164.898032841356,164.898032841356,0.00453946234773895,0.00453946234773895,0.00453946234773895,3
-3000,-2580,-2.92118963546053,-79.03192749174,-141.842017883193,-141.842017883193,-112.155561818104,-112.155561818104,164.842017883193,164.842017883193,164.842017883193,0.00455434141170061,0.00455434141170061,0.00455434141170061,3
-3000,-2560,-2.92100966929417,-79.03192749174,-141.786069167176,-141.786069167176,-112.086615988593,-112.086615988593,164.786069167176,164.786069167176,164.786069167176,0.00456925114375623,0.00456925114375623,0.00456925114375623,3
-3000,-2540,-2.92082970312781,-79.03192749174,-141.730190451203,-141.730190451203,-112.017932798586,-112.017932798586,164.730190451203,164.730190451203,164.730190451203,0.00458419051981607,0.00458419051981607,0.00458419051981607,3
-3000,-2520,-2.92064973696145,-79.03192749174,-141.674385556905,-141.674385556905,-111.949521092935,-111.949521092935,164.674385556905,164.674385556905,164.674385556905,0.00459915848522049,0.00459915848522049,0.00459915848522049,3
-3000,-2500,-2.92046977079509,-79.03192749174,-141.618658370143,-141.618658370143,-111.881389858805,-111.881389858805,164.618658370143,164.618658370143,164.618658370143,0.00461415395426613,0.00461415395426613,0.00461415395426613,3
-3000,-2480,-2.92028980462873,-79.03192749174,-141.563012841487,-141.563012841487,-111.813548226518,-111.813548226518,164.563012841487,164.563012841487,164.563012841487,0.00462917580973627,0.00462917580973627,0.00462917580973627,3
-3000,-2460,-2.92010983846237,-79.03192749174,-141.507452986674,-141.507452986674,-111.746005470332,-111.746005470332,164.507452986674,164.507452986674,164.507452986674,0.00464422290243509,0.00464422290243509,0.00464422290243509,3
-3000,-2440,-2.91992987229601,-79.03192749174,-141.451982887056,-141.451982887056,-111.678771009189,-111.678771009189,164.451982887056,164.451982887056,164.451982887056,0.0046592940507245,0.0046592940507245,0.0046592940507245,3
-3000,-2420,-2.91974990612965,-79.03192749174,-141.396606690015,-141.396606690015,-111.611854407378,-111.611854407378,164.396606690015,164.396606690015,164.396606690015,0.00467438804006752,0.00467438804006752,0.00467438804006752,3
-3000,-2400,-2.91956993996329,-79.03192749174,-141.341328609365,-141.341328609365,-111.545265375155,-111.545265375155,164.341328609365,164.341328609365,164.341328609365,0.00468950362257631,0.00468950362257631,0.00468950362257631,3
-3000,-2380,-2.91938997379693,-79.03192749174,-141.286152925732,-141.286152925732,-111.479013769288,-111.479013769288,164.286152925732,164.286152925732,164.286152925732,0.00470463951656584,0.00470463951656584,0.00470463951656584,3
-3000,-2360,-2.91921000763057,-79.03192749174,-141.231083986898,-141.231083986898,-111.413109593535,-111.413109593535,164.231083986898,164.231083986898,164.231083986898,0.00471979440611672,0.00471979440611672,0.00471979440611672,3
-3000,-2340,-2.9190300414642,-79.03192749174,-141.176126208141,-141.176126208141,-111.347562999056,-111.347562999056,164.176126208141,164.176126208141,164.176126208141,0.00473496694064136,0.00473496694064136,0.00473496694064136,3
-3000,-2320,-2.91885007529784,-79.03192749174,-141.121284072526,-141.121284072526,-111.282384284744,-111.282384284744,164.121284072526,164.121284072526,164.121284072526,0.00475015573446299,0.00475015573446299,0.00475015573446299,3
-3000,-2300,-2.91867010913148,-79.03192749174,-141.066562131184,-141.066562131184,-111.217583897481,-111.217583897481,164.066562131184,164.066562131184,164.066562131184,0.00476535936640087,0.00476535936640087,0.00476535936640087,3
-3000,-2280,-2.91849014296512,-79.03192749174,-141.011965003551,-141.011965003551,-111.153172432309,-111.153172432309,164.011965003551,164.011965003551,164.011965003551,0.00478057637936675,0.00478057637936675,0.00478057637936675,3
-3000,-2260,-2.91831017679876,-79.03192749174,-140.957497377587,-140.957497377587,-111.089160632522,-111.089160632522,163.957497377587,163.957497377587,163.957497377587,0.0047958052799713,0.0047958052799713,0.0047958052799713,3
-3000,-2240,-2.9181302106324,-79.03192749174,-140.903164009957,-140.903164009957,-111.025559389668,-111.025559389668,163.903164009957,163.903164009957,163.903164009957,0.00481104453814205,0.00481104453814205,0.00481104453814205,3
-3000,-2220,-2.91795024446604,-79.03192749174,-140.848969726177,-140.848969726177,-110.96237974345,-110.96237974345,163.848969726177,163.848969726177,163.848969726177,0.00482629258675516,0.00482629258675516,0.00482629258675516,3
-3000,-2200,-2.91777027829968,-79.03192749174,-140.794919420731,-140.794919420731,-110.899632881546,-110.899632881546,163.794919420731,163.794919420731,163.794919420731,0.00484154782127849,0.00484154782127849,0.00484154782127849,3
-3000,-2180,-2.91759031213332,-79.03192749174,-140.741018057144,-140.741018057144,-110.837330139315,-110.837330139315,163.741018057144,163.741018057144,163.741018057144,0.00485680859943109,0.00485680859943109,0.00485680859943109,3
-3000,-2160,-2.91741034596696,-79.03192749174,-140.687270668033,-140.687270668033,-110.775482999414,-110.775482999414,163.687270668033,163.687270668033,163.687270668033,0.00487207324085524,0.00487207324085524,0.00487207324085524,3
-3000,-2140,-2.9172303798006,-79.03192749174,-140.633682355093,-140.633682355093,-110.71410309129,-110.71410309129,163.633682355093,163.633682355093,163.633682355093,0.00488734002680903,0.00488734002680903,0.00488734002680903,3
-3000,-2120,-2.91705041363424,-79.03192749174,-140.580258289072,-140.580258289072,-110.653202190584,-110.653202190584,163.580258289072,163.580258289072,163.580258289072,0.00490260719987046,0.00490260719987046,0.00490260719987046,3
-3000,-2100,-2.91687044746788,-79.03192749174,-140.527003709679,-140.527003709679,-110.592792218398,-110.592792218398,163.527003709679,163.527003709679,163.527003709679,0.0049178729636656,0.0049178729636656,0.0049178729636656,3
-3000,-2080,-2.91669048130152,-79.03192749174,-140.473923925466,-140.473923925466,-110.532885240459,-110.532885240459,163.473923925466,163.473923925466,163.473923925466,0.00493313548261142,0.00493313548261142,0.00493313548261142,3
-3000,-2060,-2.91651051513515,-79.03192749174,-140.421024313655,-140.421024313655,-110.473493466149,-110.473493466149,163.421024313655,163.421024313655,163.421024313655,0.00494839288168243,0.00494839288168243,0.00494839288168243,3
-3000,-2040,-2.91633054896879,-79.03192749174,-140.368310319921,-140.368310319921,-110.414629247425,-110.414629247425,163.368310319921,163.368310319921,163.368310319921,0.00496364324619577,0.00496364324619577,0.00496364324619577,3
-3000,-2020,-2.91615058280243,-79.03192749174,-140.315787458125,-140.315787458125,-110.356305077585,-110.356305077585,163.315787458125,163.315787458125,163.315787458125,0.00497888462162218,0.00497888462162218,0.00497888462162218,3
-3000,-2000,-2.91597061663607,-79.03192749174,-140.263461310002,-140.263461310002,-110.298533589923,-110.298533589923,163.263461310002,163.263461310002,163.263461310002,0.00499411501341791,0.00499411501341791,0.00499411501341791,3
-3000,-1980,-2.91579065046971,-79.03192749174,-140.211337524793,-140.211337524793,-110.24132755623,-110.24132755623,163.211337524793,163.211337524793,163.211337524793,0.00500933238688289,0.00500933238688289,0.00500933238688289,3
-3000,-1960,-2.91561068430335,-79.03192749174,-140.159421818825,-140.159421818825,-110.184699885163,-110.184699885163,163.159421818825,163.159421818825,163.159421818825,0.00502453466704467,0.00502453466704467,0.00502453466704467,3
-3000,-1940,-2.91543071813699,-79.03192749174,-140.107719975033,-140.107719975033,-110.128663620459,-110.128663620459,163.107719975033,163.107719975033,163.107719975033,0.00503971973857024,0.00503971973857024,0.00503971973857024,3
-3000,-1920,-2.91525075197063,-79.03192749174,-140.056237842436,-140.056237842436,-110.073231939005,-110.073231939005,163.056237842436,163.056237842436,163.056237842436,0.0050548854457049,0.0050548854457049,0.0050548854457049,3
-3000,-1900,-2.91507078580427,-79.03192749174,-140.004981335541,-140.004981335541,-110.018418148754,-110.018418148754,163.004981335541,163.004981335541,163.004981335541,0.00507002959224228,0.00507002959224228,0.00507002959224228,3
-3000,-1880,-2.91489081963791,-79.03192749174,-139.953956433701,-139.953956433701,-109.964235686486,-109.964235686486,162.953956433701,162.953956433701,162.953956433701,0.00508514994152364,0.00508514994152364,0.00508514994152364,3
-3000,-1860,-2.91471085347155,-79.03192749174,-139.9031691804,-139.9031691804,-109.910698115394,-109.910698115394,162.9031691804,162.9031691804,162.9031691804,0.00510024421647187,0.00510024421647187,0.00510024421647187,3
-3000,-1840,-2.91453088730519,-79.03192749174,-139.852625682483,-139.852625682483,-109.857819122526,-109.857819122526,162.852625682483,162.852625682483,162.852625682483,0.0051153100996557,0.0051153100996557,0.0051153100996557,3
-3000,-1820,-2.91435092113883,-79.03192749174,-139.802332109325,-139.802332109325,-109.805612516042,-109.805612516042,162.802332109325,162.802332109325,162.802332109325,0.00513034523339002,0.00513034523339002,0.00513034523339002,3
-3000,-1800,-2.91417095497247,-79.03192749174,-139.752294691919,-139.752294691919,-109.754092222307,-109.754092222307,162.752294691919,162.752294691919,162.752294691919,0.00514534721987324,0.00514534721987324,0.00514534721987324,3
-3000,-1780,-2.9139909888061,-79.03192749174,-139.702519721916,-139.702519721916,-109.703272282803,-109.703272282803,162.702519721916,162.702519721916,162.702519721916,0.00516031362135936,0.00516031362135936,0.00516031362135936,3
-3000,-1760,-2.91381102263974,-79.03192749174,-139.653013550582,-139.653013550582,-109.65316685087,-109.65316685087,162.653013550582,162.653013550582,162.653013550582,0.00517524196037019,0.00517524196037019,0.00517524196037019,3
-3000,-1740,-2.91363105647338,-79.03192749174,-139.603782587696,-139.603782587696,-109.603790188257,-109.603790188257,162.603782587696,162.603782587696,162.603782587696,0.0051901297199457,0.0051901297199457,0.0051901297199457,3
